样本ID | P | R | F1
legal_question_answering_34145 | 0.7609 | 0.8195 | 0.7891
legal_question_answering_22123 | 0.7378 | 0.7810 | 0.7588
legal_question_answering_29255 | 0.7421 | 0.7759 | 0.7586
legal_question_answering_34326 | 0.6849 | 0.7520 | 0.7169
legal_question_answering_25324 | 0.7660 | 0.7149 | 0.7396
legal_question_answering_3427 | 0.6883 | 0.6264 | 0.6559
legal_question_answering_53399 | 0.0000 | 0.0000 | 0.0000
legal_question_answering_374 | 0.6466 | 0.6177 | 0.6318
legal_question_answering_17996 | 0.7703 | 0.7527 | 0.7614
legal_question_answering_28242 | 0.7346 | 0.7675 | 0.7507
legal_question_answering_56282 | 0.6720 | 0.7075 | 0.6893
legal_question_answering_74915 | 0.8119 | 0.8258 | 0.8188
legal_question_answering_62187 | 0.6194 | 0.6588 | 0.6385
legal_question_answering_52306 | 0.7795 | 0.8239 | 0.8011
legal_question_answering_23072 | 0.7237 | 0.8080 | 0.7635
legal_question_answering_32344 | 0.6765 | 0.6330 | 0.6540
legal_question_answering_23492 | 0.7107 | 0.7649 | 0.7368
legal_question_answering_49718 | 0.6713 | 0.6886 | 0.6798
legal_question_answering_63933 | 0.6295 | 0.6493 | 0.6393
legal_question_answering_21481 | 0.6611 | 0.7488 | 0.7023
legal_question_answering_21133 | 0.7252 | 0.7242 | 0.7247
legal_question_answering_60692 | 0.6567 | 0.6526 | 0.6546
legal_question_answering_34258 | 0.6586 | 0.6876 | 0.6728
legal_question_answering_43614 | 0.6772 | 0.7176 | 0.6969
legal_question_answering_32719 | 0.7262 | 0.7181 | 0.7221
legal_question_answering_21662 | 0.7132 | 0.7647 | 0.7381
legal_question_answering_18204 | 0.7884 | 0.7393 | 0.7631
legal_question_answering_26630 | 0.7840 | 0.7489 | 0.7661
legal_question_answering_33198 | 0.5843 | 0.7095 | 0.6408
legal_question_answering_44851 | 0.7892 | 0.7674 | 0.7781
legal_question_answering_78842 | 0.8013 | 0.7667 | 0.7836
legal_question_answering_48002 | 0.6640 | 0.5556 | 0.6050
legal_question_answering_67385 | 0.5426 | 0.7910 | 0.6436
legal_question_answering_23352 | 0.7654 | 0.8228 | 0.7931
legal_question_answering_51663 | 0.5818 | 0.6200 | 0.6003
legal_question_answering_64976 | 0.7172 | 0.7468 | 0.7317
legal_question_answering_6485 | 0.6932 | 0.5205 | 0.5946
legal_question_answering_73317 | 0.3321 | 0.4640 | 0.3871
legal_question_answering_55842 | 0.5625 | 0.6100 | 0.5853
legal_question_answering_52301 | 0.7035 | 0.7104 | 0.7069
legal_question_answering_53073 | 0.6049 | 0.5153 | 0.5565
legal_question_answering_5483 | 0.6806 | 0.7081 | 0.6941
legal_question_answering_27340 | 0.7291 | 0.7949 | 0.7606
legal_question_answering_9221 | 0.4033 | 0.5279 | 0.4572
legal_question_answering_37613 | 0.7880 | 0.7090 | 0.7464
legal_question_answering_3889 | 0.7302 | 0.6052 | 0.6619
legal_question_answering_35586 | 0.8005 | 0.7898 | 0.7951
legal_question_answering_3322 | 0.7022 | 0.7175 | 0.7097
legal_question_answering_57193 | 0.6135 | 0.7293 | 0.6664
legal_question_answering_64760 | 0.5851 | 0.5737 | 0.5793
legal_question_answering_13194 | 0.6652 | 0.6804 | 0.6727
legal_question_answering_79152 | 0.4314 | 0.5046 | 0.4652
legal_question_answering_29148 | 0.7426 | 0.6766 | 0.7081
legal_question_answering_40691 | 0.7185 | 0.7613 | 0.7393
legal_question_answering_242 | 0.6180 | 0.6336 | 0.6257
legal_question_answering_63257 | 0.6866 | 0.6505 | 0.6680
legal_question_answering_35492 | 0.7542 | 0.7231 | 0.7383
legal_question_answering_61379 | 0.5820 | 0.5928 | 0.5873
legal_question_answering_66544 | 0.4604 | 0.7641 | 0.5746
legal_question_answering_25350 | 0.7801 | 0.7531 | 0.7664
legal_question_answering_37183 | 0.7140 | 0.7305 | 0.7222
legal_question_answering_17651 | 0.7161 | 0.7897 | 0.7511
legal_question_answering_67630 | 0.4003 | 0.7321 | 0.5176
legal_question_answering_29086 | 0.6928 | 0.7340 | 0.7128
legal_question_answering_45003 | 0.6817 | 0.7571 | 0.7174
legal_question_answering_67948 | 0.6388 | 0.7855 | 0.7046
legal_question_answering_60289 | 0.7333 | 0.7509 | 0.7420
legal_question_answering_71207 | 0.3822 | 0.7844 | 0.5140
legal_question_answering_44528 | 0.8828 | 0.8766 | 0.8797
legal_question_answering_68526 | 0.5629 | 0.8263 | 0.6697
legal_question_answering_1605 | 0.6382 | 0.7685 | 0.6973
legal_question_answering_25651 | 0.7336 | 0.6368 | 0.6818
legal_question_answering_17761 | 0.7339 | 0.7893 | 0.7606
legal_question_answering_35158 | 0.6895 | 0.6897 | 0.6896
legal_question_answering_73593 | 0.3463 | 0.7037 | 0.4641
legal_question_answering_37680 | 0.8295 | 0.8412 | 0.8353
legal_question_answering_48994 | 0.7015 | 0.8212 | 0.7567
legal_question_answering_63271 | 0.5889 | 0.6541 | 0.6198
legal_question_answering_20050 | 0.7783 | 0.8411 | 0.8085
legal_question_answering_67400 | 0.6180 | 0.8946 | 0.7310
legal_question_answering_24253 | 0.7351 | 0.7816 | 0.7576
legal_question_answering_42102 | 0.7558 | 0.7252 | 0.7402
legal_question_answering_37718 | 0.8037 | 0.7581 | 0.7803
legal_question_answering_16739 | 0.7427 | 0.7062 | 0.7240
legal_question_answering_47404 | 0.8159 | 0.7730 | 0.7939
legal_question_answering_45738 | 0.6750 | 0.7290 | 0.7010
legal_question_answering_73202 | 0.2642 | 0.4324 | 0.3280
legal_question_answering_74965 | 0.8051 | 0.7809 | 0.7928
legal_question_answering_53123 | 0.4687 | 0.2941 | 0.3615
legal_question_answering_45713 | 0.6943 | 0.6951 | 0.6947
legal_question_answering_25193 | 0.5764 | 0.6207 | 0.5977
legal_question_answering_55736 | 0.7649 | 0.7623 | 0.7636
legal_question_answering_34220 | 0.7760 | 0.7147 | 0.7441
legal_question_answering_25423 | 0.7489 | 0.7719 | 0.7602
legal_question_answering_4416 | 0.6883 | 0.6719 | 0.6800
legal_question_answering_19013 | 0.7919 | 0.7617 | 0.7765
legal_question_answering_72801 | 0.3795 | 0.6926 | 0.4904
legal_question_answering_61290 | 0.6231 | 0.7023 | 0.6603
legal_question_answering_21615 | 0.7114 | 0.7489 | 0.7297
legal_question_answering_71479 | 0.3506 | 0.7242 | 0.4725
legal_question_answering_31659 | 0.7379 | 0.7545 | 0.7461
legal_question_answering_42528 | 0.6828 | 0.8087 | 0.7405
legal_question_answering_71067 | 0.3250 | 0.5227 | 0.4008
